Response_ID,Department,Role_Level,Years_at_Company,Overall_Satisfaction,Work_Life_Balance,Management_Quality,Career_Growth,Compensation,Remote_Work_Preference,Training_Satisfaction,Recommend_Company,Comments_Category
R001,Engineering,Senior,3,8,7,8,6,7,Hybrid,8,9,Career Development
R002,Marketing,Junior,1,7,8,7,8,6,Remote,7,8,Work Environment
R003,Sales,Senior,5,9,6,9,7,8,Hybrid,9,10,Management
R004,HR,Manager,7,8,8,8,8,8,Office,8,9,Benefits
R005,Finance,Junior,2,6,7,6,5,7,Remote,6,7,Compensation
R006,Engineering,Junior,1,9,9,8,9,7,Remote,9,10,Work Environment
R007,Marketing,Manager,4,7,7,7,6,8,Hybrid,7,8,Career Development
R008,Sales,Senior,6,8,5,8,7,9,Office,8,8,Compensation
R009,IT,Senior,4,9,8,9,8,8,Hybrid,9,9,Technology
R010,Customer Service,Junior,2,6,8,6,5,6,Remote,6,6,Management
R011,Engineering,Manager,8,8,7,8,7,9,Hybrid,8,9,Work Environment
R012,Marketing,Senior,3,7,9,7,7,7,Remote,7,8,Work Life Balance
R013,Sales,Junior,1,8,8,8,8,6,Hybrid,8,9,Training
R014,Finance,Manager,5,7,6,7,6,8,Office,7,7,Processes
R015,HR,Senior,4,9,8,9,8,8,Hybrid,9,10,Benefits
R016,Engineering,Junior,1,8,9,7,9,6,Remote,8,9,Technology
R017,IT,Manager,6,8,7,8,7,9,Hybrid,8,8,Management
R018,Customer Service,Senior,3,7,8,7,6,7,Remote,7,7,Work Environment
R019,Marketing,Junior,2,9,9,8,8,7,Remote,9,10,Work Life Balance
R020,Sales,Manager,7,8,6,8,7,9,Office,8,9,Compensation
R021,Engineering,Senior,4,7,8,7,6,8,Hybrid,7,8,Career Development
R022,Finance,Junior,1,8,8,8,8,7,Remote,8,8,Training
R023,HR,Manager,5,9,8,9,8,9,Hybrid,9,10,Benefits
R024,IT,Senior,3,8,7,8,7,8,Hybrid,8,8,Technology
R025,Customer Service,Junior,2,6,7,6,5,6,Remote,6,6,Management
R026,Marketing,Senior,4,8,8,8,7,8,Hybrid,8,9,Work Environment
R027,Sales,Junior,1,9,9,8,9,7,Remote,9,10,Work Life Balance
R028,Engineering,Manager,9,7,6,7,6,9,Office,7,7,Processes
R029,Finance,Senior,3,8,7,8,7,8,Hybrid,8,8,Career Development
R030,IT,Junior,1,9,9,8,9,7,Remote,9,10,Technology
