reviewId,rating,date,option,skinType,skinTone,helpfulCount,hasPhoto,isRepurchase,content
53684088,5,"2025.12.31","쑥떡팩폼120ml +미니 클렌징 3종","A03","B02",15,false,false,"세수를 그렇게 잘 하진 않는데 궁금해서 구매해 봤어요! 좋아요"
53690381,5,"2025.12.31","쑥떡팩폼 120ml+15ml 추가증정","A01","B01",10,true,false,"약알칼리성 폼클렌징이라 지성피부에 부담없이 사용할 수 있을 것 같아 구매했어요 세정력좋고 피부에 자극이 덜한 느낌이에요"
53697470,4,"2025.12.31","쑥떡팩폼120ml +미니 클렌징 3종","A02","B01",5,true,false,"마무리감이 전혀 건조하지 않고 촉촉해서 피부에 부담되지 않고 안에 들어있는 알맹이도 자극적이지 않아요! 바하 팩폼을 쓰다가 시카 팩폼으로 잘못 시켜서 쓰고 있는데 바하가 좀 더 쫀쫀한 느낌이고 지성 피부엔 바하가 더 잘 맞는 곳 것 같으니까 참고하세요😉 바하가 더 거품이 잘 나고 시카는 물에 잘 녹지 않는 제형이에요! 도움이 되셨다면 도움이 돼요 눌러주시면 감사하겠습니다🙂"
52426979,5,"2025.12.05","쑥떡팩폼 120ml+15ml 추가증정","A02","B04",14,false,false,"떡솝이 유명하면서 한번 구매해봤는데, 막 피지제거가 잘된다는 느낌은 아닌데, 세정력 좋고 피부결이 부드러워져요!!"
53664034,5,"2025.12.31","쑥떡팩폼120ml +미니 클렌징 3종","A06","B04",4,true,false,"유뷰트에서 유명하길래 예전부터 사용해 보고 싶던 제품 중 하나! ㅣ 다른 쑥떡폼 다 소진해서 이번 세일 때 드디어 구매했어요  한율은 쑥 라인이 워낙 좋아서 기대 많이 했는데 진짜 좋아요ㅎㅎ 가벼운 클렌저로도, 아침에도, 저녁 팩용으로도 다양하게 사용중이에요 패키지에 쑥 알갱이가 비쳐서 더 산뜻한 느낌스💚"
53660946,5,"2025.12.30","쑥떡팩폼 120ml+15ml 추가증정","A03","B01",4,true,false,"세정력이조아요 추천합니다 내가산건아니고 와이프가삿어요"
53645238,5,"2025.12.30","쑥떡팩폼120ml +미니 클렌징 3종","A03","B04",4,true,false,"유튜브에서 보고 구매했는데 좋네요 쑥향이어서 진정도 잘 되는 것 같고 쫀쫀해요 세정도 잘 되고 팩으로 사용했을 때도 뾰루지가 가라앉고 피부결이 정돈돼요"
53579508,5,"2025.12.28","","A03","B05",6,false,false,"향 너무 좋고 팩 처럼 쓰면 힐링돼용 가격만 저렴하면 계속 사용할거같아료"
53668759,5,"2025.12.31"," ","A01","B04",3,true,false,"유자향이 진짜 좋아요 유자향 좋아하면 완전 추천 약간 불투명해서 남은 양도 보여요"
53656228,5,"2025.12.30"," ","A06","B06",4,false,false,"일주일에 한 번 정도 각질 관리용으로 사용하면 좋아요. 세정력이 뛰어난 편인 것 같고 피부 결이 부드러워집니다"
